impressions,taps,installs,newDownloads,redownloads,latOnInstalls,latOffInstalls,ttr,avgCPA,avgCPT,localSpend,conversionRate,date,keywordId,keywordStatus,matchType,bidAmount,deleted,keywordDisplayStatus,adGroupId,adGroupName,adGroupDeleted,modificationTime,countryOrRegion,campaignId,campaignName,campaignStatus,billingEvent,adGroupStatus
84,2,0,0,0,0,0,0.0238,0.0,0.58,1434.9199999999998,0.0,2023-01-16,1260575318,ACTIVE,EXACT,4.5,False,RUNNING,1260505455,Competitor Keyword,False,2023-01-17T14:06:10.691,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
193,3,2,1,1,0,0,0.0155,2.31,1.54,5714.9400000000005,0.6667000000000001,2023-01-16,1260575315,PAUSED,EXACT,3.0,False,PAUSED,1260505455,Competitor Keyword,False,2023-01-17T13:57:57.770,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-16,1260575314,ACTIVE,EXACT,4.0,False,RUNNING,1260505455,Competitor Keyword,False,2023-01-17T14:01:07.931,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
523,9,1,0,1,0,0,0.0172,20.85,2.3167,25791.45,0.1111,2023-01-16,1260575313,PAUSED,EXACT,3.0,False,PAUSED,1260505455,Competitor Keyword,False,2023-01-17T13:56:33.584,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-16,1260575311,ACTIVE,EXACT,3.0,False,RUNNING,1260505455,Competitor Keyword,False,2023-01-12T13:55:09.417,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-16,1260575310,ACTIVE,EXACT,3.0,False,RUNNING,1260505455,Competitor Keyword,False,2023-01-12T13:55:09.406,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
166,7,5,1,4,0,0,0.0422,3.928,2.8057,24294.68,0.7143,2023-01-16,1260575309,PAUSED,EXACT,3.0,False,PAUSED,1260505455,Competitor Keyword,False,2023-01-17T13:57:27.279,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-16,1260575307,ACTIVE,EXACT,3.0,False,RUNNING,1260505455,Competitor Keyword,False,2023-01-12T13:55:09.374,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
28,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-16,1260575306,ACTIVE,EXACT,3.0,False,RUNNING,1260505455,Competitor Keyword,False,2023-01-12T13:55:09.362,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
73,4,0,0,0,0,0,0.0548,0.0,0.765,3785.2200000000003,0.0,2023-01-16,1260575305,ACTIVE,EXACT,4.5,False,RUNNING,1260505455,Competitor Keyword,False,2023-01-17T14:06:17.319,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
50,2,0,0,0,0,0,0.04,0.0,2.83,7001.42,0.0,2023-01-16,1260575304,ACTIVE,EXACT,3.0,False,RUNNING,1260505455,Competitor Keyword,False,2023-01-12T13:55:09.337,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
1145,56,26,13,13,0,0,0.0489,0.4246,0.1971,13656.48,0.46430000000000005,2023-01-16,1260575303,ACTIVE,EXACT,3.0,False,RUNNING,1260505455,Competitor Keyword,False,2023-01-12T13:55:09.317,KR,1260578881,Competitor Campaign,RUNNING,TAPS,RUNNING
6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-16,1260573730,ACTIVE,EXACT,1.0,False,RUNNING,1260538843,Brand Keyword,False,2023-01-17T13:31:18.673,KR,1260481146,Brand Campaign,RUNNING,TAPS,RUNNING
2,1,0,0,0,0,0,0.5,0.0,0.32,395.84000000000003,0.0,2023-01-16,1260573728,ACTIVE,EXACT,1.0,False,RUNNING,1260538843,Brand Keyword,False,2023-01-17T13:42:43.483,KR,1260481146,Brand Campaign,RUNNING,TAPS,RUNNING
12,2,2,1,1,0,0,0.16670000000000001,0.8,0.8,1979.2,1.0,2023-01-16,1260573727,ACTIVE,EXACT,1.0,False,RUNNING,1260538843,Brand Keyword,False,2023-01-17T13:43:17.854,KR,1260481146,Brand Campaign,RUNNING,TAPS,RUNNING
14,7,5,3,2,0,0,0.5,0.32,0.2286,1979.2,0.7143,2023-01-16,1260573726,ACTIVE,EXACT,2.0,False,RUNNING,1260538843,Brand Keyword,False,2023-01-17T13:31:13.300,KR,1260481146,Brand Campaign,RUNNING,TAPS,RUNNING
322,132,105,53,52,0,0,0.40990000000000004,0.5695,0.453,73972.59999999999,0.7955,2023-01-16,1260573724,ACTIVE,EXACT,2.0,False,RUNNING,1260538843,Brand Keyword,False,2023-01-17T13:30:58.496,KR,1260481146,Brand Campaign,RUNNING,TAPS,RUNNING
2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-16,1260579873,ACTIVE,BROAD,3.0,False,RUNNING,1260506951,Broad Ad Group,False,2023-01-12T14:01:30.970,KR,1260375337,Discovery Campaign,RUNNING,TAPS,RUNNING
1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-16,1260579872,ACTIVE,BROAD,3.0,False,RUNNING,1260506951,Broad Ad Group,False,2023-01-12T14:01:30.960,KR,1260375337,Discovery Campaign,RUNNING,TAPS,RUNNING
