date,app,campaign_id,campaign,impressions,clicks,installs,installs_ct,conversions,cost,revenue,af_complete_registration,af_purchase,channel
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,17417.0,38.0,6.0,1.0,61.0,4759.8473619,143000.0,6.0,20.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,47552.0,69.0,1.0,,319.0,12219.667377540001,3518800.0,,318.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,1381669.0,1600.0,243.0,7.0,1548.0,349008.37880850007,1327400.0,391.0,101.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,49.0,,734700.0,4.0,45.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,28204.0,51.0,2.0,1.0,2.0,6712.6578585,,,,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,460203.0,1143.0,137.0,20.0,977.0,189674.16176604002,1539600.0,241.0,121.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,57549.0,112.0,11.0,4.0,128.0,13803.370822500003,942100.0,21.0,57.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,417520.0,467.0,101.0,4.0,591.0,113114.69619389996,1067100.0,149.0,59.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,4572.0,8.0,1.0,,1.0,1167.97580778,,,,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,1.0,1.0,97.0,,1362200.0,8.0,88.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,30.0,,269800.0,,30.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,23751.0,27.0,6.0,1.0,42.0,8525.22771534,56400.0,8.0,4.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,1543240.0,847.0,333.0,37.0,2039.0,398382.3640127401,4226500.0,457.0,175.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,14990.0,5.0,4.0,,70.0,4046.0943920399986,1261400.0,6.0,48.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,43065.0,28.0,7.0,,51.0,11482.953556440003,128900.0,4.0,13.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,43237.0,23.0,6.0,3.0,25.0,11512.388448600002,,7.0,,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,458904.0,1076.0,122.0,8.0,846.0,190559.37303048,1618100.0,196.0,139.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,21030.0,42.0,16.0,6.0,248.0,9194.867843939997,1460400.0,38.0,141.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,34626.0,54.0,11.0,,52.0,12235.673511780002,,7.0,,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,47181.0,58.0,14.0,4.0,237.0,12123.260857680001,1829600.0,41.0,146.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,18.0,,138000.0,4.0,14.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,8.0,,64000.0,,8.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,26.0,,195200.0,,26.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,10.0,,33000.0,,10.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,156562.0,195.0,41.0,11.0,270.0,38758.11834552,86800.0,88.0,7.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,5.0,,35000.0,,5.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,123891.0,65.0,34.0,7.0,280.0,32045.524168499996,982000.0,45.0,85.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,12.0,,204000.0,,12.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,3755.0,7.0,2.0,1.0,7.0,984.6120144599997,,,,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,15.0,,181700.0,,15.0,moloco
2023-01-10,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,54100.0,,1.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,1766767.0,2184.0,321.0,12.0,538.0,438415.5598225204,621300.0,117.0,41.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,475748.0,1201.0,141.0,9.0,241.0,192634.99938156008,282600.0,55.0,21.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,41527.0,66.0,13.0,1.0,19.0,14386.152264840008,,4.0,,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,166793.0,210.0,38.0,5.0,66.0,41816.284410600005,127400.0,14.0,12.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,4131.0,13.0,,,,1086.4480518599999,,,,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,19294.0,37.0,6.0,3.0,9.0,4541.461917540001,,3.0,,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,1816468.0,970.0,331.0,46.0,563.0,458430.72115914006,415000.0,123.0,33.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,54213.0,34.0,11.0,3.0,31.0,14034.260962979997,165700.0,4.0,16.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,52177.0,32.0,7.0,2.0,11.0,13488.799222199996,41100.0,1.0,3.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,2.0,,7400.0,1.0,1.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,64875.0,120.0,16.0,5.0,27.0,14774.029862579997,20700.0,6.0,4.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,48067.0,80.0,8.0,2.0,57.0,11849.74938408,339500.0,5.0,38.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,7.0,,52500.0,1.0,6.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,6.0,,85500.0,1.0,5.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,481639.0,1214.0,149.0,17.0,237.0,195217.494519,164000.0,60.0,17.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,22709.0,73.0,12.0,6.0,36.0,9717.118551900001,173900.0,9.0,15.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,55490.0,63.0,6.0,1.0,18.0,13749.61359456,109600.0,,9.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,48110.0,53.0,14.0,,91.0,11951.532775859998,806500.0,7.0,70.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,3.0,3.0,25.0,,230100.0,,22.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,2.0,,29300.0,,2.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,23600.0,,1.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,7.0,,114800.0,,7.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,17455.0,32.0,2.0,,4.0,6181.585179000001,13800.0,,2.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,3.0,,18300.0,,3.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,8.0,,75700.0,,8.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,10157.0,52.0,2.0,,3.0,3869.7266508600005,,1.0,,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,3.0,,27800.0,1.0,2.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,51764.0,32.0,7.0,,18.0,13355.311813919998,67800.0,1.0,5.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,7.0,,65600.0,,7.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,19900.0,,1.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,12.0,,156800.0,,12.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,3900.0,,1.0,moloco
2023-01-11,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,32100.0,,1.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,14971.0,25.0,3.0,2.0,3.0,3973.0856245199993,,,,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,76634.0,151.0,17.0,6.0,35.0,19206.290500560004,162900.0,6.0,12.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,44982.0,50.0,8.0,1.0,72.0,11417.30988066,551700.0,6.0,58.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,49830.0,93.0,12.0,,19.0,17393.815226159993,41600.0,3.0,4.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,2111691.0,1162.0,359.0,79.0,547.0,540604.0414034401,1166600.0,121.0,66.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,59533.0,34.0,7.0,,13.0,15606.854335680004,20000.0,3.0,3.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,59821.0,41.0,19.0,3.0,41.0,15878.063371740003,168300.0,12.0,10.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,44837.0,62.0,11.0,2.0,22.0,11556.5496906,102700.0,4.0,7.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,45177.0,73.0,11.0,,50.0,11618.342094119998,307400.0,5.0,34.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,493666.0,1532.0,150.0,22.0,235.0,210341.59721466008,433800.0,59.0,26.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,495705.0,1438.0,126.0,10.0,173.0,210978.71385516005,75100.0,38.0,8.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,195091.0,465.0,37.0,5.0,56.0,49865.90831874001,16600.0,17.0,2.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,11.0,,179700.0,,11.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,59787.0,44.0,8.0,2.0,14.0,15641.31091536,19000.0,5.0,1.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,1665273.0,2191.0,282.0,9.0,429.0,425406.2979898799,565200.0,101.0,46.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,10.0,,111400.0,,10.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,14200.0,,1.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,4.0,,13800.0,2.0,2.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,6.0,,72400.0,,6.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,23624.0,87.0,8.0,1.0,25.0,10673.722159499997,151300.0,6.0,11.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,7.0,,131900.0,,7.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,11283.0,76.0,1.0,1.0,2.0,4582.036829340001,,1.0,,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,2.0,,12800.0,,2.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,7.0,,87900.0,,7.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,1494.0,3.0,,,1.0,426.9066266399999,,1.0,,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,10100.0,,1.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,12100.0,,1.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,6600.0,,1.0,moloco
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,15480.0,20.0,2.0,,4.0,5381.197695599999,21700.0,1.0,1.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,1987219.0,3079.0,290.0,17.0,442.0,562470.88272702,642500.0,104.0,48.0,moloco
